Year,Date,Hour,Minute,Upstream,Downstream,Passage,Reviewer,Comments
2017,18-Jul,05:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,05:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,05:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,05:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,05:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,06:00:00,0,7,1,6,JMK,NA
2017,18-Jul,06:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,06:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,06:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,06:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,06:00:00,50,20,0,20,EPA,NA
2017,18-Jul,07:00:00,0,3,1,2,VTR,NA
2017,18-Jul,07:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,07:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,07:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,07:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,07:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,08:00:00,0,6,2,4,JMK,NA
2017,18-Jul,08:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,08:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,08:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,08:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,08:00:00,50,120,0,120,VTR,NA
2017,18-Jul,09:00:00,0,45,2,43,VTR,NA
2017,18-Jul,09:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,09:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,09:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,09:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,09:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,10:00:00,0,10,0,10,JMK,NA
2017,18-Jul,10:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,10:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,10:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,10:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,10:00:00,50,372,0,372,VTR,NA
2017,18-Jul,11:00:00,0,151,1,150,VTR,NA
2017,18-Jul,11:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,11:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,11:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,11:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,11:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,12:00:00,0,153,0,153,JMK,NA
2017,18-Jul,12:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,12:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,12:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,12:00:00,40,NA,NA,0,NA,NA
